leave,tech,layer,remaining_connection,pre_trained_auroc,pre_trained_ind,pre_trained_ood,before_auroc,before_ind,before_ood,after_auroc,after_ind,after_ood,auroc_improvement,ind_increase
2,0,encoder_fc2,1,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403112228492003,8.963042259216309,9.735753059387207,0.8622411338505903,6.345885753631592,7.996845245361328,0.8773878451427723,2.351811419469956
2,0,encoder_fc2,2,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403439079690751,8.9630126953125,9.735897064208984,0.9096764810627278,5.885647296905518,8.107870101928711,0.9256564737666398,2.1812451502004246
2,0,encoder_fc2,3,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403522278177708,8.962944030761719,9.735990524291992,0.9154370578594694,5.812383651733398,8.14207649230957,0.9315182447539521,2.1540933412903476
2,0,encoder_fc2,4,0.9827365840819036,2.6982970237731934,5.299961090087891,0.640348283993389,8.962688446044922,9.735855102539062,0.924313526042639,5.814346790313721,8.2676362991333,0.9405506429845137,2.1548208885407156
2,0,encoder_fc2,5,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403810771632472,8.962179183959961,9.735466957092285,0.9504511951192526,5.234551906585693,8.093746185302734,0.967147464045197,1.93994651458567
2,0,encoder_fc2,6,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403752964891534,8.962287902832031,9.735575675964355,0.9510917154188191,5.2659525871276855,8.121376037597656,0.9677992361578277,1.9515837362352284
2,0,encoder_fc2,7,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6404082517339862,8.961894035339355,9.735335350036621,0.9664302749137329,4.879085540771484,7.919179439544678,0.9834072431694355,1.8082092141022938
2,0,encoder_fc2,8,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403155448485226,8.960451126098633,9.73393440246582,0.9543830259527415,5.099054336547852,7.8536272048950195,0.971148364080034,1.8897305565780644
2,0,encoder_fc2,9,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6403826438880014,8.960540771484375,9.734416007995605,0.9548680083016963,4.473991394042969,7.2547125816345215,0.9716418659571499,1.6580796534351558
2,0,encoder_fc2,10,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6405577388855467,8.959890365600586,9.734643936157227,0.9688693952312788,4.701955795288086,7.6875529289245605,0.9858892107251916,1.7425642002573365
2,0,encoder_fc2,11,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6405374254887316,8.959949493408203,9.734640121459961,0.9739010668423128,4.712084770202637,7.882030963897705,0.9910092720850062,1.7463180401145908
2,0,encoder_fc2,12,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6404655722499982,8.960307121276855,9.734598159790039,0.9710576234881646,4.799978733062744,7.913500785827637,0.9881158788805551,1.7788919050693097
2,0,encoder_fc2,13,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6404805911976433,8.96028995513916,9.734700202941895,0.9776909199980637,4.625860214233398,7.827527046203613,0.9948657003661325,1.7143628642353004
2,0,encoder_fc2,14,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6400910710087201,8.960163116455078,9.732348442077637,0.9639180047576568,4.405030250549316,7.188088893890381,0.9808508407755802,1.6325223693830022
2,0,encoder_fc2,15,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6400078725217657,8.959698677062988,9.731736183166504,0.9703447096999496,4.344638347625732,7.275737285614014,0.9873904415662609,1.6101408812104605
2,0,encoder_fc2,16,0.9827365840819036,2.6982970237731934,5.299961090087891,0.6399909086744254,8.959775924682617,9.731691360473633,0.9663179029313528,4.145931720733643,7.0784993171691895,0.9832928971847634,1.5364993861706646
